lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,Bathrooms,Bedrooms,price,zip,Stories,BuiltAfter2k,HasPatioPorch,zpid
6011.0,2601.0,1.2666666666666668,2.6666666666666665,1063,14,3.0,4,305000.0,78660,2,1,1,111373431
6185.0,1768.0,1.4,2.6666666666666665,1063,14,2.0,4,295000.0,78660,1,1,0,120900430
7840.0,1478.0,1.2,3.0,1108,14,2.0,3,256125.0,78660,1,1,0,2084491383
6098.0,1678.0,1.4,2.6666666666666665,1063,14,2.0,3,240000.0,78660,1,1,0,120901374
6708.0,2132.0,1.1333333333333335,4.0,1223,14,3.0,3,239900.0,78660,2,1,0,60134862
5161.0,1446.0,1.0666666666666669,4.0,1223,14,2.0,3,309045.0,78660,1,1,1,2080105342
12196.8,2432.0,1.2333333333333334,3.6666666666666665,1051,12,3.0,4,315000.0,78660,2,1,0,241932337
5140.0,1422.0,1.1666666666666667,4.0,1223,14,3.0,3,219900.0,78660,2,1,0,60134835
3811.0,1870.0,1.1666666666666667,4.0,1223,14,2.0,3,225000.0,78660,2,1,1,60134833
5183.0,1422.0,1.2,3.0,1615,14,3.0,3,194800.0,78617,2,1,0,83827468
5401.0,1580.0,1.2,3.6666666666666665,1051,12,2.0,3,279900.0,78660,1,1,0,241932327
4965.0,2281.0,1.2,3.0,1615,14,3.0,3,250000.0,78617,2,1,0,241930967
6011.0,1762.0,0.6333333333333333,3.333333333333333,1626,14,2.0,4,239900.0,78617,1,1,1,69808966
6926.0,1326.0,1.8333333333333333,3.0,1615,14,2.0,3,200000.0,78617,1,1,0,64520966
10846.0,1655.0,1.2333333333333334,3.0,1615,14,3.0,3,131679.0,78617,2,1,1,83813460
6621.0,1228.0,1.4666666666666668,3.0,1615,14,2.0,3,200000.0,78617,1,1,1,29470450
10802.0,1752.0,0.5666666666666667,3.333333333333333,1626,14,2.0,4,212000.0,78617,1,1,0,70341946
10672.0,4564.0,3.266666666666667,7.666666666666668,1259,14,6.0,5,687850.0,78717,2,1,0,116080992
9060.0,3233.0,1.9333333333333331,8.333333333333334,1481,16,4.0,5,409000.0,78717,2,1,0,88013985
7448.0,1511.0,2.4333333333333336,2.6666666666666665,1478,13,2.0,3,199000.0,78724,1,1,1,70344594
7666.0,2228.0,1.9,8.333333333333334,1481,16,2.0,3,400000.0,78717,1,1,0,185217484
10890.0,4020.0,3.266666666666667,7.666666666666668,1259,14,4.0,4,699000.0,78717,2,1,1,121719682
8494.0,3494.0,3.2999999999999994,7.666666666666668,1259,14,5.0,4,549900.0,78717,2,1,0,116080981
107593.2,1216.0,5.2,3.333333333333333,1557,14,5.0,8,350000.0,78747,1,1,0,83822421
5183.0,1534.0,1.8,3.0,1457,13,3.0,3,240000.0,78725,1,0,1,29462564
7405.0,1738.0,1.9666666666666668,3.0,1457,13,2.0,3,249900.0,78725,1,1,1,70355992
